
Cores Qtd: 4	Tamanho do Problema: 1024000000

	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 700 	Intervalo: 0.29 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 795 	Intervalo: 0.25 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 725 	Intervalo: 0.28 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 167 	Intervalo: 1.20 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 9 	Intervalo: 22.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 893 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 890 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 663 	Intervalo: 0.30 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.96e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 185 	Intervalo: 1.08 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.94e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 733 	Intervalo: 0.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 4	Tamanho do Problema: 2048000000

	Tempo: 7.87e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 271 	Intervalo: 0.74 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.87e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 834 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.88e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 581 	Intervalo: 0.34 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.87e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 349 	Intervalo: 0.57 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 7.87e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 851 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
