
Tamanho do Problema: 1024000000

	Tempo: 1.75e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 752 	Intervalo: 0.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.75e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 446 	Intervalo: 0.45 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.75e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 923 	Intervalo: 0.22 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.74e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 515 	Intervalo: 0.39 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.74e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 118 	Intervalo: 1.69 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.74e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 370 	Intervalo: 0.54 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.73e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 400 	Intervalo: 0.50 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.74e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 380 	Intervalo: 0.53 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.74e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 690 	Intervalo: 0.29 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.74e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 1024000000 	Numero de Bins: 415 	Intervalo: 0.48 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Tamanho do Problema: 2048000000

	Tempo: 3.51e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 746 	Intervalo: 0.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 3.48e+02 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 314 	Intervalo: 0.64 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
